Dish Name,Calories,Carbohydrates,Protein,Fats,Free_Sugar,Fibre,Sodium,Calcium,Iron,Vitamin_C,Folate
egg noodles,230,40,7,5,2,2,200,20,1,0,30
khatti dal,80,10,5,2,2,3,150,30,1,2,25
urad dal,120,12,6,4,2,4,150,40,1,10,50
arhar palak dal,110,12,5,3,2,4,150,50,1,15,80
sabut moong dal tadka,130,14,7,4,1,5,180,60,2,5,70
kabuli chana curry,150,20,8,5,2,6,200,60,2,10,80
besan gatte curry,220,18,8,10,4,4,200,150,2,8,100
mutton korma,250,5,15,18,2,1,200,80,2,5,40
meatball curry,220,5,12,15,2,2,200,60,2,5,40
seekh kebab,200,3,15,14,1,1,150,90,2,3,10
soya chunk curry,180,12,12,8,2,5,200,80,2,10,60
mushroom matar,120,10,5,5,2,4,150,40,1,20,60
palak mushroom,90,8,4,4,1,3,150,60,2,30,120
roast chicken,220,0,25,13,0,0,120,20,1,0,15
chicken masala,250,8,18,15,2,2,200,80,1,8,60
tomato chicken,200,6,18,12,2,2,180,40,1,15,40
creamy chicken,260,6,20,18,2,1,200,80,1,5,40
chicken korma,260,10,18,16,3,2,200,80,1,8,60
sweet sour chicken,300,20,18,15,6,2,250,40,1,15,50
fish curry,200,6,18,12,2,2,180,60,1,8,40
fish fry,300,10,20,20,1,1,200,40,1,5,20
fish coconut curry,180,5,18,10,2,2,180,50,1,8,40
prawn curry,200,5,18,12,2,2,200,60,1,5,40
baked fish,180,5,20,10,1,1,150,40,1,8,50
egg curry,180,6,12,12,2,2,200,60,1,10,40
aloo sabzi,120,18,3,4,2,3,150,30,1,15,40
veg coconut curry,150,15,4,6,2,4,150,40,1,20,60
palak aloo,100,12,3,4,2,3,150,50,2,30,120
bhindi fry,150,10,3,8,2,4,150,60,1,20,80
veg stir fry,80,8,3,3,1,3,120,30,1,30,60
veg jalfrezi,100,10,3,4,2,3,120,40,1,20,50
veg kofta curry,250,12,5,18,2,2,200,60,1,10,40
potato roast,150,20,3,6,1,2,120,20,1,10,20
stuffed potato,180,20,5,8,1,2,150,40,1,10,30
spinach mushroom creamy,200,8,5,15,1,2,150,80,1,30,120
veg cheese pie,250,20,6,15,2,2,200,100,1,20,80
spinach souffle,180,8,8,12,1,2,200,120,2,25,100
egg beet salad,120,5,6,8,2,1,120,40,1,5,40
potato salad,180,15,4,10,2,2,150,40,1,10,50
green salad,60,5,2,2,2,2,80,40,1,30,60
cucumber yogurt salad,60,6,3,2,2,1,120,100,1,5,20
fruit salad jelly,100,15,2,3,10,1,50,30,1,20,30
mayonnaise,300,2,1,30,2,0,200,20,0.5,0,5
curd dressing,80,8,5,3,6,1,150,150,0.5,5,30
carrot raita,70,8,4,2,5,2,150,140,1,6,30
pumpkin raita,65,7,4,2,5,2,150,130,1,6,30
mint peanut raita,120,8,7,6,5,2,200,180,2,6,40
spinach raita,70,6,4,2,3,2,150,140,2,25,120
bathua raita,70,6,4,2,3,2,150,180,2,30,60
pineapple raita,90,10,4,3,8,1,150,130,1,15,30
banana raita,110,15,4,3,10,1,150,130,1,5,30
mango raita,90,10,4,3,8,1,150,130,1,20,60
guava raita,80,9,4,3,7,3,150,130,1,80,30
lauki kheer,120,15,3,4,10,1,100,100,0.5,5,30
pumpkin kheer,120,15,3,4,10,1,100,100,0.5,8,25
apple kheer,110,15,3,3,10,1,100,80,0.5,5,15
custard baked,130,15,5,5,14,0,100,90,0.5,3,30
vanilla ice cream,200,20,3,12,15,0,100,80,0.3,2,10
strawberry ice cream,200,20,3,12,15,0,100,80,0.3,5,10
chocolate ice cream,220,22,4,14,18,0,100,70,0.5,2,15
chocolate sauce,250,40,2,8,35,0,50,20,1,0,0
coffee ice cream,180,18,3,10,14,0,100,90,0.3,2,10
butterscotch ice cream,230,22,3,14,18,0,100,70,0.3,2,15
fruit cream dessert,150,15,2,8,10,1,100,60,0.5,10,20
chocolate mousse,220,10,6,15,8,0,100,50,1,1,30
souffle dessert,180,18,6,10,14,0,100,60,0.5,5,30
stewed fruit,80,20,1,0,15,3,20,10,0.2,5,5
apple pudding,200,35,2,8,25,2,100,40,1,5,10
steamed cake chocolate,300,30,5,15,20,1,150,60,1,2,20
gulab jamun,300,35,4,15,25,0,100,60,1,1,10
rasgulla,180,30,4,5,25,0,100,60,1,1,10
rasmalai,220,30,6,8,25,0,100,80,1,2,15
khoa burfi,350,35,8,20,30,2,100,250,2,0,20
suji burfi,300,45,5,12,25,2,100,50,1,0,10
ladoo mix,400,45,8,20,20,4,100,100,2,0,15
til chikki,300,40,8,10,30,5,100,150,3,0,20
murmura chikki,200,50,3,2,35,1,100,60,2,0,5
onion pakora,350,30,6,18,2,3,200,40,1,5,15
chilli pakora,350,25,6,18,2,3,200,40,1,5,15
chicken pakora,320,15,20,18,1,2,200,40,1,1,10
fish pakora,300,10,20,18,1,2,200,40,1,1,10
paneer cutlet,350,15,10,22,2,2,200,120,1,5,30
sabudana cutlet,300,35,3,15,1,1,150,20,1,10,10
egg cutlet,320,15,12,20,1,1,200,60,1,5,20
meat cutlet,330,15,15,20,1,1,200,50,1,2,10
veg samosa,300,35,5,15,2,2,200,40,1,5,15
medu vada,320,30,8,18,1,4,300,40,2,1,20
masala vada,300,28,8,16,1,4,280,40,2,2,25
khaman dhokla,160,25,6,4,3,3,200,50,1,3,30
instant dhokla,200,30,7,6,5,3,300,60,1,3,30
tomato ginger chutney,60,12,1,1,6,2,200,30,1,5,5
mint tomato chutney,55,10,2,1,5,3,180,40,1,6,5
coriander chutney,50,9,2,1,5,3,180,40,1,6,5
amla chutney,60,10,2,1,2,4,200,50,1,10,10
walnut chutney,300,10,8,25,4,3,150,120,2,2,10
sweet chutney,100,25,1,1,20,1,200,20,1,0,2
gunpowder chutney,280,40,20,8,2,10,200,70,5,1,15
coconut chutney dry,300,20,10,20,8,8,250,70,3,1,10
curd mint dip,90,8,5,3,5,1,200,150,1,5,10
curd veg dip,80,7,4,3,5,1,150,130,1,5,10
mayo veg dip,200,5,2,18,3,1,150,90,1,5,10
veg sandwich basic,200,30,5,7,2,3,250,80,1,10,20
grilled tomato sandwich,220,28,6,9,3,2,300,120,1,10,20
french sandwich,230,25,7,10,2,2,280,100,1,8,25
peanut butter sandwich,280,30,10,14,3,4,300,100,1,2,20
mint peanut sandwich,300,32,8,15,3,4,300,110,2,2,20
chicken sandwich premium,280,25,15,12,2,2,250,80,1,0,15
open cheese sandwich,300,30,10,15,3,2,350,200,1,2,15
chocolate sponge cake,260,40,6,8,25,1,100,40,1,0,15
chocolate swiss roll,300,35,6,12,20,1,100,40,1,0,10
jam filling,200,50,0,0,45,0,10,5,0,0,0
lemon curd,250,30,3,12,25,0,50,20,1,2,5
chocolate pastry,300,35,6,15,25,1,100,50,1,0,15
mixed pastry,280,35,5,12,20,1,100,40,1,0,15
orange cake,320,45,5,15,25,1,120,40,1,5,10
chocolate eggless cake,320,45,6,14,30,1,150,150,1,3,15
butter icing,450,60,1,20,60,0,10,20,0,0,0
chocolate icing,420,55,3,18,55,0,10,30,1,0,1
almond biscuit,400,50,6,18,20,2,150,50,1,0,5
orange biscuit,380,55,4,12,35,1,200,30,1,1,5
ginger biscuit,380,50,6,12,25,2,300,40,1,2,5
coffee cookies,420,45,7,20,20,2,100,60,1,0,5
christmas cookies,400,55,5,15,25,2,150,30,1,0,5
jelly biscuit,400,55,4,18,30,2,120,40,1,0,5
cheese straws,350,30,10,20,2,1,400,150,1,0,5
butter biscuit,380,45,6,20,5,1,400,180,1,0,5
fruit flan,250,30,4,12,10,1,100,20,1,5,30
orange flan,260,32,4,12,20,1,100,25,1,20,50
fruit tart,280,35,4,15,10,2,100,20,1,5,10
apple banana pie,240,30,4,10,12,2,150,20,1,10,30
lemon chiffon pie,260,28,5,12,10,1,120,30,1,8,50
orange chiffon pie,220,25,4,10,10,1,100,30,1,40,80
cream buns,220,20,5,12,6,1,100,40,1,1,10
savoury puffs,280,25,7,15,3,1,300,60,1,2,15
choux swans,230,20,5,12,6,1,120,40,1,5,20
potato aigrettes,350,20,4,20,2,2,200,20,1,2,10
cream horns,400,30,4,25,8,1,150,40,1,1,10
cheese horns,300,25,6,18,3,1,200,120,1,2,10
paneer patties,300,25,8,18,3,2,200,150,1,5,30
vegetable patties,250,25,5,15,2,3,150,40,1,15,25
bajra infant food,350,60,10,6,20,7,50,120,4,0,20
cereal mix,120,22,3,2,10,2,50,20,1,1,20
pulse mix,100,18,4,1,7,2,50,20,1,0,20
banana peanut puree,200,35,5,6,25,2,50,80,2,5,20
rice dal porridge,300,55,10,5,20,4,50,50,2,1,15
dal suji porridge,120,20,3,2,10,2,50,40,1,1,20
spinach khichdi,120,20,4,3,2,2,100,50,1,10,30
vegetable mix,150,30,5,3,20,3,100,80,2,10,30
maize porridge,100,18,3,2,8,2,50,20,1,3,20
palak peanut burfi,180,15,4,10,10,2,50,50,2,20,80
channa dal burfi,300,50,6,10,30,2,50,20,1,1,20
besan cookies,250,40,5,8,25,2,100,50,2,1,10
bajra mathri,600,40,5,35,2,2,150,20,1,0,10
til biscuit,400,50,8,18,25,5,150,200,4,0,10
channa dal vada,300,20,8,18,2,3,150,40,1,5,20
soya chikki,400,60,8,15,40,3,100,80,3,0,30
atta ladoo,380,45,9,18,15,5,100,120,3,0,15
besan suji dhokla,200,30,8,6,3,4,200,60,2,5,60
soya roti,280,40,10,8,2,8,150,60,3,5,30
poshtik khichdi,120,20,4,3,2,3,100,40,1,20,60
namkeen daliya,280,45,8,8,2,7,150,40,2,5,10
sprouts upma,280,40,9,10,2,6,150,40,2,2,20
suji idli,200,35,8,4,3,5,200,100,2,2,15
poshtik chilla,160,25,5,4,2,5,100,20,2,1,10
bharwa karela,200,10,4,12,2,3,300,40,1,30,40
creamed spinach,100,5,5,6,2,2,150,120,2,50,200
milkshakes,80,10,2,3,8,0,50,70,0.2,10,30
bel sharbat,50,10,1,0,8,1,50,10,0.2,15,5
sattu drink,60,10,2,1,5,1,50,10,0.5,0,20
apple sorbet,120,30,0,0,25,1,10,10,0.2,5,5
thandai,150,12,4,8,10,1,50,120,1,5,20
cucumber sharbat,30,7,0,0,5,1,10,10,0.2,10,20
oats smoothie,100,15,4,3,6,2,50,80,1,5,60
nannari sharbat,100,25,0,0,25,0,10,10,0.1,5,5
semolina drink,60,10,2,2,5,1,50,20,0.5,5,10
saffron milk,150,15,4,6,12,0,50,120,0.5,5,20
black rice kheer,180,25,5,6,12,1,50,90,1,3,10
coconut kheer,200,20,4,12,15,2,50,80,1,10,30
apple sago kheer,160,20,4,8,12,1,50,100,1,5,20
kesari bath,250,35,4,10,20,2,100,20,1,0,10
putharekulu,320,60,4,8,25,2,100,20,1,0,5
mango malpua,300,35,4,15,10,2,100,20,1,20,40
mango custard,150,20,3,6,15,1,100,80,1,15,40
kiwi granola pudding,280,35,5,12,15,4,100,60,1,40,100
oats burfi,400,55,8,15,30,5,100,120,2,0,20
lotus seed halwa,350,40,8,18,10,2,100,80,2,0,100
rajgira ladoo,420,50,10,20,20,5,100,140,4,0,10
chhena poda,320,30,12,15,25,1,100,250,1,0,40
sweet couscous dessert,200,30,4,6,15,2,100,40,1,10,30
shrikhand,150,20,6,6,18,0,100,150,0.5,2,30
rabri,180,15,6,10,12,0,100,120,0.5,3,20
besan halwa,300,30,6,15,15,2,100,80,1,2,40
prawn sandwich,200,20,10,8,2,2,200,80,1,10,40
watercress sandwich,220,30,6,10,2,3,200,100,1,5,20
fish sandwich,180,20,8,8,2,2,200,60,1,5,30
rajma paneer sandwich,220,25,10,8,3,4,200,150,2,5,80
ragi biscuit,420,55,6,20,18,5,150,200,2,0,20
buttermilk biscuit,300,35,6,15,3,2,200,60,1,0,10
lemon cookies,400,50,5,20,25,1,150,80,1,2,10
sweet potato biscuit,300,40,5,12,5,2,200,60,1,5,20
raspberry cookies,450,60,4,22,35,1,150,20,1,0,10
pumpkin cookies,250,45,3,8,25,2,100,30,1,2,10
green pea cookies,200,30,6,6,12,5,200,50,1,10,20
sunflower cookies,500,40,8,30,20,3,200,60,2,0,30
cardamom cookies,420,55,5,18,30,2,150,30,1,0,20
hazelnut cookies,480,40,6,30,20,2,150,40,1,0,20
milk cookies,450,50,10,22,20,1,200,200,1,2,20
cranberry cookies,300,40,4,12,20,1,100,40,1,5,20
olive biscuit,400,50,4,20,25,1,150,20,1,0,10
tutti frutti biscuit,380,50,5,15,20,3,150,30,1,0,20
fruit preserves,200,50,1,0,45,1,20,10,0.5,10,10
amla pickle,150,8,2,12,2,3,1000,40,1,10,20
lotus stem pickle,120,20,2,4,2,6,800,120,3,10,20
date pickle,180,30,2,5,20,4,800,40,1,5,20
garlic pickle,200,10,3,15,2,3,1000,50,1,5,20
bamboo pickle,80,5,2,4,1,2,500,20,1,10,20
sweet fruit pickle,150,35,1,2,30,2,500,20,1,5,10
pickled greens,50,5,2,1,1,2,300,80,1,50,100
onion pickle,60,8,2,2,5,2,300,40,1,10,20
tomato pickle,150,8,2,12,2,3,800,40,1,5,20
cabbage pickle,40,5,1,1,2,2,200,20,1,10,20
coconut pickle,300,15,3,25,8,5,500,40,2,2,10
potato pickle,250,20,3,15,2,3,500,40,1,5,10
mango candy,300,70,1,0,60,1,50,20,1,10,10
afghani chicken,180,2,18,10,1,1,200,40,1,2,20
fish fry,300,10,15,20,1,1,200,40,1,2,20
fish tikka,160,2,15,9,1,1,200,40,1,10,20
chicken manchurian,220,10,12,12,2,2,300,40,1,10,30
handi chicken,200,5,15,12,1,1,250,40,1,5,20
lemon chicken,180,3,18,10,1,1,200,40,1,10,30
lemon butter fish,180,2,16,12,1,1,200,40,1,10,20
baked eggs tomato,120,5,8,8,2,1,200,60,1,20,80
egg pepper,130,2,12,9,1,1,200,60,1,15,80
spinach mushroom egg,160,5,12,10,1,2,200,120,1,5,40
corn omelette,170,5,11,12,1,1,200,100,1,5,50
cajun chicken,200,2,18,12,1,1,300,60,1,15,30
paneer do pyaza,220,10,10,15,3,2,300,150,2,10,40
cabbage manchurian,180,15,3,10,3,3,300,40,1,20,30
gobi 65,220,15,3,15,3,3,300,40,1,20,30
paneer lababdar,250,10,10,18,3,2,350,150,2,10,40
roasted cauliflower steak,80,8,3,4,1,3,150,40,1,30,40
sauteed radish beans,100,10,3,5,2,3,150,50,1,10,40
garlic chutney,180,15,3,12,6,3,300,60,2,5,20
schezwan chutney,200,12,3,15,5,3,400,50,2,15,50
onion chutney,120,15,3,6,5,3,200,40,1,5,20
dates chutney,150,35,1,1,25,3,150,40,1,5,20
chicken salad,220,5,18,12,1,2,150,50,1,5,30
macaroni salad,220,25,5,10,3,2,200,50,1,10,30
cabbage raita,80,6,3,4,4,1,150,120,0.5,10,30
pomegranate raita,90,10,4,4,7,1,150,150,0.5,5,20
onion raita,80,8,4,3,6,1,150,150,0.5,5,20
green chilli raita,80,7,4,3,6,1,150,150,0.5,5,20
kale salad,150,10,5,10,2,3,200,120,2,20,40
spinach paneer souffle,180,10,8,12,2,1,250,120,1,10,80
masala souffle,140,12,6,8,2,2,200,100,1,10,60
chicken cheese souffle,200,5,12,14,2,1,200,100,1,5,40
tamarind chutney,120,30,1,1,25,2,150,40,1,5,10
green chutney,80,10,4,2,2,4,200,100,2,10,20
pav bhaji masala,300,30,10,12,2,20,1000,500,10,0,10
sabudana khichdi,180,30,3,7,2,2,150,30,1,5,20
besan chilla,160,22,8,5,2,4,200,50,2,5,30
veg seviyan,140,25,3,3,2,3,150,30,1,5,20
khakhra,180,30,5,5,1,5,200,40,2,0,10
pesarattu,220,30,10,6,2,5,150,40,2,2,20
methi thepla,280,40,8,10,2,6,300,80,3,5,30
rice puttu,120,20,3,3,1,2,100,20,1,0,10
buckwheat pancake,220,25,5,10,2,2,100,20,1,0,10
quinoa khichdi,120,18,4,3,1,3,100,40,1,5,40
khakhra chaat,250,30,5,12,3,3,150,40,1,20,80
banana appam,300,40,4,12,8,2,100,30,1,5,20
veg manchurian,200,20,4,12,3,3,300,40,1,10,30
pav bhaji,150,20,4,6,3,3,200,40,1,30,80
rice murukku,500,40,6,30,2,3,300,40,2,0,10
bhel puri,200,30,5,6,3,4,200,40,1,15,50
suji dhokla,180,30,5,5,2,4,200,40,2,5,20
corn chaat,200,25,5,6,2,3,150,30,1,10,40
jackfruit pakora,300,30,4,18,5,2,200,40,1,5,20
banana chips,520,40,3,30,5,2,200,20,1,5,10
wheat cake,300,40,5,12,20,2,150,100,1,2,10
mango cheesecake,280,30,5,15,20,1,150,100,1,10,30
carrot cake,300,40,5,12,20,2,150,120,1,5,20
suji cake,350,40,6,20,18,2,150,120,1,2,10
ragi cake,280,35,4,12,20,2,150,120,1,2,10
honey cake,320,45,4,12,25,1,150,80,1,2,10
almond cake,350,30,7,20,18,2,150,80,1,2,10
tutti frutti cake,320,50,4,12,25,1,150,60,1,2,20
ham bean soup,120,10,10,5,2,2,200,40,1,10,50
whey soup,90,8,5,4,5,1,100,150,1,5,20
lauki soup,40,5,1,2,1,2,100,20,1,5,30
baked potato soup,120,15,4,5,3,2,200,80,1,10,30
pumpkin soup,50,8,1,2,2,2,100,20,0.5,10,30
sweet corn soup,60,10,2,2,2,2,100,20,0.5,8,30
paneer soup,120,6,6,8,2,1,200,120,1,5,40
curried cauliflower soup,100,8,4,6,2,3,200,40,1.5,20,40
millet soup,140,20,6,5,2,3,200,60,2,5,30
lemon coriander soup,60,8,2,2,2,2,150,40,1,5,20
garlic soup,90,10,2,5,2,2,150,40,1,5,20
dal makhani,200,20,8,10,2,5,300,80,2,10,60
dalma,120,18,5,4,2,3,200,60,2,20,80
chana dal,160,25,8,4,1,6,200,60,2,10,80
kulthi dal,120,18,6,2,1,5,200,60,2,10,70
panchmel dal,150,20,7,5,1,5,200,60,2,8,70
dal dhokli,180,25,6,6,2,4,200,50,1.5,5,40
handvo,220,30,8,6,2,5,250,70,2,20,150
sev,550,30,10,35,2,3,300,50,2,0,40
papdi,550,35,6,35,2,2,300,50,2,0,20
jowar dosa,220,35,7,5,1,4,150,40,2,0,20
bread roll,300,30,6,15,2,2,200,60,1,5,20
soya seekh kebab,150,12,8,6,1,3,200,40,2,10,30
black beans,150,20,8,4,1,6,200,60,2,10,20
maa chana dal,250,40,12,6,1,10,200,80,3,5,80
garlic chickpea soup,100,15,5,3,2,3,150,40,1,10,100
white sauce thin,100,8,3,6,4,1,100,100,0.5,0,10
white sauce medium,150,10,3,10,4,1,100,100,0.5,0,10
white sauce thick,200,12,4,15,4,1,100,100,0.5,0,10
cheese sauce,220,8,7,18,3,1,300,200,1,0,20
egg sauce,150,6,6,10,2,1,150,100,1,0,20
mushroom sauce,120,8,3,8,2,1,150,80,1,0,20
mustard sauce,140,10,3,10,3,1,150,80,1,0,20
brown sauce,100,20,2,2,15,1,300,40,1,0,10
pasta,150,30,5,2,2,2,100,20,1,0,10
pasta spinach sauce,120,12,4,6,2,2,150,60,1,5,20
pasta cheese sauce,180,15,6,10,3,1,200,150,1,0,20
mayonnaise,700,1,1,75,1,0,300,20,1,0,10
low fat mayo,250,5,1,25,1,0,200,20,1,0,10
thousand island dressing,350,10,1,35,5,1,400,20,1,0,10
curd dip,80,8,5,3,5,0,200,150,0.5,2,15
short crust pastry,400,45,6,20,5,2,200,20,1,0,10
choux pastry,250,20,6,15,2,1,150,20,1,0,10
flaky pastry,420,35,5,30,2,1,200,20,1,0,10
sponge cake,250,40,6,6,20,1,150,40,1,0,10
glace icing,350,85,0,0,80,0,10,5,0.5,0,0
royal icing,350,85,1,0,80,0,20,5,0.5,0,0
american frosting,300,70,1,5,65,0,20,10,0.5,0,0
gum icing,250,60,5,0,55,0,20,20,0.5,0,0
chana murmura mix,300,60,10,3,2,6,200,40,3,0,20
dalia moong dal premix,350,60,15,5,2,8,100,50,3,0,30
poha chana mix,300,60,10,3,2,8,200,20,4,0,10
spinach milk soup,80,6,3,4,3,1,100,120,1,5,20
veg soup,60,8,2,2,2,3,150,20,1,10,20
banana milk mash,120,20,3,3,10,1,20,80,0.3,5,20
poha curd,180,28,6,5,3,2,200,120,1.5,5,20
potato curd,100,15,3,3,3,2,150,80,0.5,5,20
sweet dalia,160,25,5,3,10,3,100,100,2,2,30
veg khichdi,150,22,5,4,3,3,150,80,1,10,40
moong mixture,200,30,6,6,10,2,100,50,1,2,20
dalia khichdi,180,25,7,5,3,4,200,120,2,5,30
stewed apple,100,25,0,0,20,2,5,10,0.2,5,10
lemon squash,180,45,0,0,40,0,20,10,0.2,5,5
orange squash,180,45,0,0,40,0,20,10,0.2,10,10
lychee squash,180,45,0,0,40,0,20,10,0.2,5,5
mango squash,180,45,0,0,40,1,20,10,0.2,10,10
pineapple squash,180,45,0,0,40,1,20,10,0.2,5,5
lemon ginger squash,170,42,0,0,38,1,20,10,0.2,10,10
apple jam,250,60,0,0,50,1,10,10,0.2,5,5
plum jam,240,58,0,0,48,1,10,10,0.2,5,5
pineapple jam,220,55,0,0,45,1,10,10,0.2,5,5
guava jelly,200,50,1,0,45,2,10,10,0.2,10,10
orange marmalade,200,50,1,0,45,2,10,10,0.2,10,10
carrot murabba,220,55,1,0,50,2,20,20,0.5,5,10
amla murabba,180,45,1,0,40,2,20,20,0.5,10,10
ginger candy,220,55,1,0,45,2,20,10,0.5,2,5
mango pickle,150,8,2,12,2,3,1200,40,1,2,10
mixed veg pickle,150,8,2,12,2,3,1200,40,1,2,10
sweet lemon pickle,120,20,1,4,15,3,1200,40,1,5,10
plum chutney,150,35,1,1,30,2,300,20,1,5,10
raw mango chutney,150,35,1,1,30,2,300,20,1,10,15
tomato sauce,40,8,1,0,6,1,200,15,0.5,5,10
tomato puree,30,5,1,0,3,2,200,10,0.5,5,10
garam masala,300,30,10,12,2,20,50,500,10,0,10
chat masala,250,30,8,10,1,15,1000,500,10,0,10
kashmiri masala,350,25,8,20,2,10,800,300,10,0,10
rasam powder,300,30,12,12,2,25,50,500,10,0,10
sambar powder,300,30,12,12,2,25,50,400,10,0,10
tartare sauce,500,5,2,50,2,1,300,20,0.5,0,5
bbq sauce,120,25,1,2,20,1,300,20,1,5,10
bread sauce,120,10,3,7,5,1,100,100,0.5,0,5
green chilli sauce,50,10,1,1,6,2,800,10,1,5,10
plain noodles,220,40,6,3,2,2,200,20,1,0,10
moong dal,100,15,6,2,1,3,100,30,1,5,30
jeera tadka,120,2,2,10,0,1,150,40,1,0,5
onion tomato tadka,120,6,2,10,2,2,100,20,1,5,10
mustard tadka,120,3,2,10,0,2,100,40,1,0,5
cherry sauce,150,35,0,0,30,1,100,20,0.5,5,5
apple jelly,200,50,0,0,45,1,10,10,0.2,5,5
marmalade,200,50,0,0,45,1,10,10,0.2,5,5
plum squash,180,45,0,0,40,1,20,10,0.2,5,5
lemon green chilli pickle,40,5,1,2,2,2,1200,20,1,2,5
brinjal pickle,120,6,2,10,2,3,1200,40,2,2,10
sweet sour tomato pickle,80,10,1,4,6,2,800,20,1,5,10
carrot pickle,90,8,2,5,4,3,900,50,2,5,15
tomato chutney,120,20,1,4,12,2,500,30,1,10,15
tomato ketchup,100,25,1,0,20,1,300,20,1,5,10
panch phoran,350,20,18,22,1,18,50,500,10,0,1
oats upma,180,30,7,5,2,5,200,40,2,5,30
veg poha,180,30,5,6,2,4,200,30,1,10,25
idli sambar,180,30,8,4,2,5,250,50,2,10,40
moong dal chilla,160,22,9,5,2,4,200,60,2,5,40
paneer paratha,280,30,10,14,3,4,300,150,2,5,30
egg toast,220,20,12,10,2,3,250,60,2,0,25
veg dalia,180,30,6,4,2,5,200,30,2,5,30
besan chilla,170,20,8,6,2,4,200,50,2,5,30
sprouts salad,160,25,9,3,2,5,150,40,3,10,50
ragi porridge,160,25,6,4,2,4,150,120,3,5,40
upma,180,30,5,6,2,3,200,40,1,5,25
peanut butter sandwich,280,28,10,15,5,3,250,50,2,0,25
fruit yogurt bowl,180,28,7,5,10,3,120,150,1,15,30
banana smoothie,150,30,4,3,12,3,80,100,1,10,25
egg bhurji roti,240,22,12,12,2,3,250,70,2,5,30
milk cornflakes,200,35,7,5,10,2,200,200,5,0,30
paneer sandwich,250,30,10,10,4,3,250,150,2,4,25
veg omelette,200,10,12,14,2,2,200,60,2,8,30
apple oats,180,30,6,4,8,4,100,80,1,8,30
brown rice dal,300,50,10,6,2,7,300,60,3,8,70
roti paneer sabzi,320,40,12,14,3,5,350,150,2,10,50
rajma rice,350,55,12,8,3,8,350,70,3,5,80
chole roti,340,50,12,10,4,7,350,80,3,8,80
grilled chicken rice,350,40,22,10,0,3,350,40,2,0,30
fish curry rice,340,45,20,10,0,3,350,50,2,0,30
dal tadka roti,300,45,10,8,2,5,350,70,2,8,70
soybean curry roti,300,40,16,8,2,6,350,80,3,8,80
mixed veg roti,260,40,8,7,3,6,300,80,2,12,70
paneer rice bowl,340,45,14,12,3,4,350,200,2,5,50
egg curry rice,340,45,14,10,2,4,350,80,2,5,50
chicken curry roti,360,40,22,12,2,3,400,50,2,5,40
tofu stir fry rice,300,40,14,10,2,5,300,120,3,10,60
palak paneer roti,320,35,14,14,3,5,350,200,3,15,80
veg pulao,280,45,7,7,3,4,300,60,2,8,50
curd rice,260,45,8,6,3,2,300,150,1.5,2,40
sambar rice,280,50,9,5,2,5,300,70,2,10,70
lemon rice,280,45,6,8,3,3,300,40,1.5,8,30
jeera rice dal,280,45,10,6,2,4,300,60,2,8,70
paneer bhurji roti,320,30,14,16,3,4,350,180,2,5,50
grilled chicken salad,260,10,25,12,0,4,300,60,2,15,40
veg soup toast,180,30,6,5,3,4,250,80,2,20,50
dal roti,240,40,9,6,2,5,300,70,2,8,60
stir fry vegetables,150,20,5,6,3,5,200,100,2,25,70
moong dal khichdi,220,35,9,5,2,5,250,50,2,10,60
egg curry with roti,280,28,14,12,2,4,350,70,2,5,50
tofu stir fry,220,15,14,10,2,4,250,120,3,12,60
clear soup with salad,120,15,5,4,3,4,200,50,1.5,20,50
palak paneer,280,18,12,18,3,4,300,200,3,25,80
vegetable khichdi,220,35,8,5,2,5,250,50,2,10,60
chicken soup,120,5,12,5,1,1,200,40,1,5,20
grilled fish,220,5,24,12,0,1,250,50,2,0,20
dal soup,140,20,7,4,2,4,200,60,2,5,40
paneer salad,250,12,12,16,3,3,300,180,2,8,40
egg omelette,180,3,12,14,1,1,200,50,2,3,20
vegetable curry,200,25,6,8,3,5,250,80,2,15,60
tofu curry,220,18,12,10,2,4,250,120,3,12,60
chicken stir fry,250,10,24,12,1,2,300,40,2,10,30
mixed dal,220,30,10,6,2,6,250,70,3,8,70
roasted chana,150,25,8,2,1,6,150,40,2,0,30
boiled corn,120,25,4,2,4,3,50,10,1,5,20
apple peanut butter,200,22,5,10,10,4,100,40,1,5,20
banana,100,23,1,0,12,2,1,5,0.3,8,20
almonds,580,20,21,50,4,12,1,260,3,0,50
protein shake,180,10,20,6,2,1,150,200,2,0,25
sprouts chaat,160,25,9,3,2,5,150,50,3,10,50
boiled egg,155,1,13,11,1,0,120,50,1,0,40
yogurt,90,8,5,4,7,0,80,150,0.2,2,15
coconut water,60,15,0,0,10,1,40,20,0.3,5,5
peanut chikki,450,40,10,20,30,2,50,80,2,0,10
fruit salad,100,25,2,1,18,3,10,30,1,20,40
boiled sweet potato,120,28,2,0,6,4,50,30,1,15,30
makhana,110,20,4,2,1,2,50,60,1,0,15
paneer cubes,200,5,12,15,2,0,200,200,0.5,0,20
energy bar,220,30,8,8,12,3,150,100,2,5,30
buttermilk,60,8,3,2,5,1,100,120,0.2,3,10
roasted peanuts,200,10,7,15,2,3,100,50,1,0,20
dark chocolate,150,15,2,10,10,2,10,40,2,0,10
oats cookies,200,30,4,8,12,3,150,60,1,0,20
